date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:02	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2004%20Aug%202024%2012:50:00%20GMT	https://technologysolutionsusa.net/robots.txt		(from )
18:50:02	30415/30415	---MCZ	200	added ('OK')	text/html	etag:W/%2218b41480b0b8ab824fd5d992384f1aff%22	https://technologysolutionsusa.net/	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/index.html	(from )
18:50:04	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2294994c66fec8c3468b269dc0cc242151%22	https://technologysolutionsusa.net/css/bootstrap.min.css	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/css/bootstrap.min.css	(from https://technologysolutionsusa.net/)
18:50:05	73273/73273	---MCZ	200	added ('OK')	text/css	etag:W/%22b9d9e9a30b876b742023776c87829f3a%22	https://technologysolutionsusa.net/css/bootstrap-icons.css	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/css/bootstrap-icons.css	(from https://technologysolutionsusa.net/)
18:50:05	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2230b593b71d7672658f89bfea0ab360c9%22	https://technologysolutionsusa.net/css/magnific-popup.css	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/css/magnific-popup.css	(from https://technologysolutionsusa.net/)
18:50:06	17163/17163	---MCZ	200	added ('OK')	text/css	etag:W/%22767b6ecebd04e339e9ea9c65df9ac6e3%22	https://technologysolutionsusa.net/css/tooplate-waso-strategy.css	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/css/tooplate-waso-strategy.css	(from https://technologysolutionsusa.net/)
18:50:08	183169/183169	---M--	200	added ('OK')	image/jpeg	etag:%22e98bc83cfacb42a53552b0083c8af1a1%22	https://technologysolutionsusa.net/images/slide/christina-wocintechchat-com-NDoVgcS_lZM-unsplash.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/slide/christina-wocintechchat-com-NDoVgcS_lZM-unsplash.jpg	(from https://technologysolutionsusa.net/)
18:50:08	181609/181609	---M--	200	added ('OK')	image/jpeg	etag:%226f60a2c548dc4ffb6667e31f14200c5a%22	https://technologysolutionsusa.net/images/slide/jason-goodman-0K7GgiA8lVE-unsplash.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/slide/jason-goodman-0K7GgiA8lVE-unsplash.jpg	(from https://technologysolutionsusa.net/)
18:50:09	279248/279248	---M--	200	added ('OK')	image/jpeg	etag:%2241b1630bb58e910a039b5ae4a12f5863%22	https://technologysolutionsusa.net/images/peter-jones-WZROBIlY8Rg-unsplash.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/peter-jones-WZROBIlY8Rg-unsplash.jpg	(from https://technologysolutionsusa.net/)
18:50:10	134239/134239	---M--	200	added ('OK')	image/jpeg	etag:%22cefb0a4615342db44fc2cbf4dbd71a49%22	https://technologysolutionsusa.net/images/services/young-entrepreneurs-mature-investor-watching-presentation-discussing-project.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/services/young-entrepreneurs-mature-investor-watching-presentation-discussing-project.jpg	(from https://technologysolutionsusa.net/)
18:50:11	125514/125514	---M--	200	added ('OK')	image/jpeg	etag:%22395084feb104fd11c55b7f250bf00806%22	https://technologysolutionsusa.net/images/services/startup-leader-drawing-flowchart-board-discussing-project.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/services/startup-leader-drawing-flowchart-board-discussing-project.jpg	(from https://technologysolutionsusa.net/)
18:50:12	86522/86522	---M--	200	added ('OK')	image/jpeg	etag:%227cd9c0e71f0773e13ed4f27b545eebd3%22	https://technologysolutionsusa.net/images/services/portrait-smiling-african-american-young-woman-holding-movie-production-blackboard.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/services/portrait-smiling-african-american-young-woman-holding-movie-production-blackboard.jpg	(from https://technologysolutionsusa.net/)
18:50:13	10681/10681	---MCZ	200	added ('OK')	text/html	etag:W/%227ca1892734ec0af5ca76e67f8d61f8f0%22	https://technologysolutionsusa.net/project-detail.html	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/project-detail.html	(from https://technologysolutionsusa.net/)
18:50:14	68051/68051	---M--	200	added ('OK')	image/jpeg	etag:%22d8e7607908760eca041a998ca25cb903%22	https://technologysolutionsusa.net/images/projects/pj-gal-szabo-CIXXIWxxec4-unsplash.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/projects/pj-gal-szabo-CIXXIWxxec4-unsplash.jpg	(from https://technologysolutionsusa.net/)
18:50:15	77362/77362	---M--	200	added ('OK')	image/jpeg	etag:%2268c06a1bf319f174c81f74d902abba1f%22	https://technologysolutionsusa.net/images/projects/team-fredi-FN3vmVee2sI-unsplash.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/projects/team-fredi-FN3vmVee2sI-unsplash.jpg	(from https://technologysolutionsusa.net/)
18:50:16	167723/167723	---M--	200	added ('OK')	image/jpeg	etag:%22be1404a50b49486a9610c34b684379fb%22	https://technologysolutionsusa.net/images/projects/vmsign-x9yGe7wnvKQ-unsplash.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/projects/vmsign-x9yGe7wnvKQ-unsplash.jpg	(from https://technologysolutionsusa.net/)
18:50:17	188314/188314	---M--	200	added ('OK')	image/jpeg	etag:%226730d6086ca4b10fdfef93588f489228%22	https://technologysolutionsusa.net/images/projects/evangeline-shaw-nwLTVwb7DbU-unsplash.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/projects/evangeline-shaw-nwLTVwb7DbU-unsplash.jpg	(from https://technologysolutionsusa.net/)
18:50:17	49918/49918	---M--	200	added ('OK')	image/jpeg	etag:%2255eb7b6812cb6b8296c959b51695ae9c%22	https://technologysolutionsusa.net/images/projects/tangerine-newt-AKH4OVEmILc-unsplash.jpg	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/images/projects/tangerine-newt-AKH4OVEmILc-unsplash.jpg	(from https://technologysolutionsusa.net/)
18:50:18	85658/85658	---MCZ	200	added ('OK')	application/javascript	etag:W/%2248abd2372de119dfd7ffb96c8f307bfe%22	https://technologysolutionsusa.net/js/jquery.min.js	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/js/jquery.min.js	(from https://technologysolutionsusa.net/)
18:50:19	59219/59219	---MCZ	200	added ('OK')	application/javascript	etag:W/%22259e416ef6833be43801b8b68a93b008%22	https://technologysolutionsusa.net/js/bootstrap.min.js	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/js/bootstrap.min.js	(from https://technologysolutionsusa.net/)
18:50:20	7301/7301	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b8746b98470305fb641e8a0b30d38c4d%22	https://technologysolutionsusa.net/js/jquery.sticky.js	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/js/jquery.sticky.js	(from https://technologysolutionsusa.net/)
18:50:21	20932/20932	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d9267d6dda814fd767e1df7bfbe7eb57%22	https://technologysolutionsusa.net/js/jquery.magnific-popup.min.js	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/js/jquery.magnific-popup.min.js	(from https://technologysolutionsusa.net/)
18:50:22	325/325	---M--	200	added ('OK')	application/javascript	etag:%2288fb371100a31cd4156b0f783fe3d8a2%22	https://technologysolutionsusa.net/js/magnific-popup-options.js	C:/Users/aurac/Downloads/Commo/technologysolutionsusa.net/js/magnific-popup-options.js	(from https://technologysolutionsusa.net/)
